com.samsung.shealth.rewards,6196009,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-07-16 10:55:02.074,,,,2021-07-17 06:40:50.832,2021-07-16 10:55:02.114,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-16 10:55:02.074,7e7a82c3-c25d-4b30-a3c4-786a0d4303af,0,
,2021-08-08 15:00:00.000,,100003,,2021-08-27 10:22:54.165,2021-08-09 09:48:01.148,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6333}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-08 15:00:00.000,a4aa8049-051b-4c37-95f6-cdcc6a6d52e2,1,
,2021-07-16 15:00:00.000,,10009,,2021-07-17 15:31:05.997,2021-07-17 15:31:05.997,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10696}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-07-16 15:00:00.000,0088ba69-2e52-43cf-8a8f-880990efadff,1,
,2021-07-21 12:55:03.033,,,,2021-07-23 10:09:19.738,2021-07-21 12:55:03.087,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":60,""mValue2"":60}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-21 12:55:03.033,6c84ba15-f657-4faf-bca6-a34f3a5ff587,0,
,2021-08-13 15:00:00.000,,2599999,,2021-08-19 15:01:36.439,2021-08-15 18:24:11.585,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6012}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-13 15:00:00.000,413b46e8-e964-472e-9865-39bc6a49cf82,1,
,2021-08-23 15:00:00.000,,100003,,2021-09-15 03:50:35.503,2021-08-24 10:16:02.198,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6478}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-23 15:00:00.000,10f7724f-d174-4e86-97b8-db60e0d4fa48,1,
,2021-08-02 15:00:00.000,,100003,,2021-08-27 10:22:55.416,2021-08-03 11:05:07.910,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6929}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-02 15:00:00.000,5d875652-dbcf-473d-9b65-cec1482da07e,1,
,2021-08-31 15:00:00.000,,100003,,2021-09-15 03:50:34.207,2021-09-01 09:58:10.807,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6558}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-31 15:00:00.000,a4975e81-04b3-4c71-976e-b89e3f9c212f,1,
,2021-07-18 01:14:00.330,,,,2021-07-19 09:35:02.841,2021-07-18 01:14:00.363,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":82,""mValue2"":60}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-18 01:14:00.330,209f702a-2016-430b-a5ce-01eebe5c1286,0,
,2021-07-13 15:00:00.000,,100003,,2021-07-18 15:04:14.604,2021-07-18 15:04:14.604,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10170}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-07-13 15:00:00.000,8567c85c-7fda-455b-8cd7-df10252abb25,1,
,2021-09-03 15:00:00.000,,2599999,,2021-09-09 15:52:47.946,2021-09-04 15:31:04.657,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":12073}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-03 15:00:00.000,03c952df-3eb9-4221-9724-88f489fb21e2,1,
,2021-07-13 15:00:00.000,,100003,,2021-07-18 15:07:50.397,2021-07-18 15:07:50.397,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10170}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-07-13 15:00:00.000,35c8a00b-1c77-492f-8268-a99d84eeed06,1,
,2021-07-20 11:37:03.988,,,,2021-07-21 12:55:03.047,2021-07-20 11:37:04.022,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":62,""mValue2"":60}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-20 11:37:03.988,25dbe584-64c7-4fbc-9718-a906cd8f6207,0,
,2021-09-03 15:00:00.000,,100003,,2021-09-06 15:02:08.214,2021-09-06 15:02:08.214,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13394}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-03 15:00:00.000,82e603b9-616a-4487-b14c-4da2c3973735,1,
,2021-07-23 10:09:19.725,,,,2021-07-24 07:25:05.420,2021-07-23 10:09:19.751,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":73,""mValue2"":60}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-23 10:09:19.725,f7f067e2-9b90-4bba-9929-b90749376432,0,
,2021-08-07 15:00:00.000,,100003,,2021-08-08 15:00:57.376,2021-08-08 15:00:57.376,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11589}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-07 15:00:00.000,659056c5-4c53-4f83-932d-dcd88c6ea1b2,1,
,2021-09-03 15:00:00.000,,100003,,2021-09-08 15:00:05.348,2021-09-08 15:00:05.348,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13394}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-03 15:00:00.000,8eae5e52-3f0d-42b3-853f-4450880588c6,1,
,2021-08-04 15:00:00.000,,100003,,2021-08-27 10:22:55.132,2021-08-05 09:45:05.946,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6445}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-04 15:00:00.000,c7319e23-cd68-4d4f-a6ac-29125f06ed87,1,
,2021-09-03 15:00:00.000,,100003,,2021-09-11 03:52:01.564,2021-09-11 03:52:01.564,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13394}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-03 15:00:00.000,2e27c546-8053-48ec-9e61-186360c2177c,1,
,2021-08-13 15:00:00.000,,100003,,2021-08-27 10:22:53.373,2021-08-14 08:00:06.996,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7817}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-13 15:00:00.000,c507598f-8b13-4ae2-a1ab-018f8e2375b6,1,
,2021-09-03 15:00:00.000,,100003,,2021-09-11 22:52:02.028,2021-09-11 22:52:02.028,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13394}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-03 15:00:00.000,3cc2da32-179d-48fd-8d1b-02d9bbeb709d,1,
,2021-08-07 15:00:00.000,,2599999,,2021-08-13 15:00:11.771,2021-08-08 15:00:57.567,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7272}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-07 15:00:00.000,ee4a0137-5598-4443-9fc1-1dc18701a7e8,1,
,2021-07-23 15:00:00.000,,2599999,,2021-07-29 18:21:21.219,2021-07-24 15:00:40.006,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7895}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-07-23 15:00:00.000,e7e058e0-2892-4df4-b842-3f02ad46bfd4,1,
,2021-09-20 15:00:00.000,,100003,,2021-09-21 14:54:08.999,2021-09-21 10:13:07.981,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13817}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-20 15:00:00.000,280e8d76-d671-4648-b72e-2f8dc7b77419,1,
,2021-09-19 15:00:00.000,,100003,,2021-09-21 15:15:18.322,2021-09-21 15:15:18.322,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10774}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-19 15:00:00.000,04e8dfdb-a7a5-4397-a484-037d84c125d0,1,
,2021-08-07 15:00:00.000,,10009,,2021-08-13 15:00:10.078,2021-08-08 15:00:03.515,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8794}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-07 15:00:00.000,9d827f5c-0577-4a5e-906e-cf74c0c4927a,1,
,2021-08-14 15:00:00.000,,100003,,2021-09-11 08:52:31.913,2021-08-15 00:27:08.253,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7808}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-14 15:00:00.000,6d09f148-55b0-4f94-a22c-73319b4049b2,1,
,2021-09-19 15:00:00.000,,100003,,2021-09-22 17:32:48.052,2021-09-22 17:32:48.052,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10774}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-19 15:00:00.000,e4ef997e-03fe-49ce-baca-ad44456fdebd,1,
,2021-08-21 15:00:00.000,,2599999,,2021-08-27 15:01:09.845,2021-08-22 15:00:04.941,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6357}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-21 15:00:00.000,5d7d80a7-a3cb-4ac7-9bb4-a660c41b38ba,1,
,2021-08-21 15:00:00.000,,100003,,2021-09-15 03:50:35.995,2021-08-22 09:31:02.382,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7988}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-21 15:00:00.000,ec51c9cb-6ac2-42cf-bb94-96d9b802eba5,1,
,2021-09-19 15:00:00.000,,100003,,2021-09-24 16:50:48.389,2021-09-24 16:50:48.389,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10774}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-19 15:00:00.000,60c2ebff-a038-4174-bce9-76e84627b0a1,1,
,2021-08-27 15:00:00.000,,10009,,2021-09-02 15:00:11.604,2021-08-28 15:00:02.029,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6821}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-27 15:00:00.000,45b36d6e-412f-471c-bee9-09ca420fa4b4,1,
