Date,Min. HR (daily),Max. HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. HR (day),Min. HR (day),Number of samples (day),Avg. night HR,Max. HR (night),Min. HR (night),Number of samples (night)
2021-07-13 ,57.0,109.0,68.0,23,69.3,109.0,58.0,20,59.33,69.0,57.0,3
2021-07-14 ,55.0,115.0,64.62,29,63.0,115.0,55.0,19,67.7,115.0,55.0,10
2021-07-15 ,49.0,106.0,64.52,33,60.58,106.0,49.0,19,69.86,106.0,49.0,14
2021-07-16 ,49.0,104.0,66.22,36,63.1,104.0,49.0,21,70.6,104.0,49.0,15
2021-07-17 ,49.0,200.0,64.52,31,56.11,200.0,49.0,18,76.15,200.0,49.0,13
2021-07-18 ,49.0,108.0,61.87,31,59.56,108.0,49.0,18,65.08,108.0,49.0,13
2021-07-19 ,52.0,95.0,63.79,28,61.2,95.0,52.0,20,70.25,95.0,52.0,8
2021-07-20 ,53.0,106.0,64.0,32,60.06,106.0,53.0,18,69.07,106.0,53.0,14
2021-07-21 ,53.0,103.0,66.64,33,65.21,103.0,53.0,19,68.57,103.0,53.0,14
2021-07-22 ,51.0,104.0,61.8,35,58.95,104.0,51.0,19,65.19,104.0,51.0,16
2021-07-23 ,52.0,120.0,61.34,32,57.55,120.0,52.0,20,67.67,120.0,52.0,12
2021-07-24 ,50.0,90.0,58.86,37,56.1,90.0,51.0,20,62.12,90.0,50.0,17
2021-07-25 ,48.0,121.0,59.31,35,57.68,121.0,48.0,19,61.25,88.0,48.0,16
2021-07-26 ,51.0,88.0,68.0,19,69.25,88.0,51.0,16,61.33,88.0,57.0,3
2021-07-27 ,53.0,101.0,63.08,36,59.23,101.0,53.0,22,69.14,101.0,53.0,14
2021-07-28 ,53.0,104.0,67.06,34,62.67,103.0,53.0,18,72.0,104.0,53.0,16
2021-07-29 ,49.0,105.0,61.58,36,56.81,104.0,49.0,21,68.27,105.0,49.0,15
2021-07-30 ,49.0,110.0,61.5,30,58.26,110.0,49.0,19,67.09,105.0,49.0,11
2021-07-31 ,49.0,79.0,60.07,28,58.65,79.0,49.0,17,62.27,78.0,49.0,11
2021-08-01 ,47.0,123.0,63.31,35,53.5,123.0,47.0,18,73.71,123.0,47.0,17
2021-08-02 ,48.0,103.0,66.47,36,61.05,103.0,48.0,22,75.0,103.0,48.0,14
2021-08-03 ,54.0,106.0,69.77,26,67.53,106.0,54.0,17,74.0,106.0,54.0,9
2021-08-04 ,54.0,105.0,67.0,30,62.83,105.0,54.0,18,73.25,102.0,54.0,12
2021-08-05 ,56.0,106.0,69.5,26,65.74,92.0,56.0,19,79.71,106.0,56.0,7
2021-08-06 ,54.0,109.0,67.48,27,65.0,109.0,54.0,18,72.44,106.0,55.0,9
2021-08-07 ,53.0,113.0,62.46,35,61.0,113.0,53.0,21,64.64,113.0,53.0,14
2021-08-08 ,52.0,128.0,68.41,22,63.72,128.0,53.0,18,89.5,128.0,52.0,4
2021-08-09 ,52.0,108.0,64.9,31,61.39,108.0,52.0,18,69.77,108.0,52.0,13
2021-08-10 ,50.0,109.0,64.47,30,59.78,109.0,50.0,18,71.5,109.0,50.0,12
2021-08-11 ,50.0,106.0,62.03,32,60.95,106.0,50.0,20,63.83,81.0,50.0,12
2021-08-12 ,48.0,114.0,70.93,30,69.3,114.0,48.0,20,74.2,112.0,48.0,10
2021-08-13 ,48.0,114.0,70.0,34,64.95,112.0,48.0,19,76.4,114.0,48.0,15
2021-08-14 ,51.0,114.0,61.64,28,57.55,114.0,51.0,20,71.88,114.0,51.0,8
2021-08-15 ,50.0,102.0,60.03,36,55.53,102.0,50.0,19,65.06,85.0,50.0,17
2021-08-16 ,50.0,106.0,67.58,31,63.95,92.0,50.0,19,73.33,106.0,50.0,12
2021-08-17 ,49.0,123.0,69.53,34,56.63,123.0,49.0,19,85.87,123.0,49.0,15
2021-08-18 ,49.0,107.0,59.59,22,55.36,107.0,49.0,14,67.0,107.0,49.0,8
2021-08-19 ,52.0,106.0,69.06,32,65.05,106.0,52.0,19,74.92,106.0,52.0,13
2021-08-20 ,45.0,130.0,68.55,31,65.05,104.0,45.0,21,75.9,130.0,45.0,10
2021-08-21 ,53.0,130.0,62.03,37,61.0,130.0,53.0,18,63.0,130.0,53.0,19
2021-08-22 ,49.0,113.0,69.23,31,60.21,113.0,49.0,19,83.5,106.0,49.0,12
2021-08-23 ,49.0,118.0,66.59,32,65.58,118.0,49.0,19,68.08,118.0,49.0,13
2021-08-24 ,53.0,102.0,67.03,32,65.9,102.0,53.0,21,69.18,102.0,53.0,11
2021-08-25 ,51.0,118.0,67.17,36,62.18,118.0,51.0,22,75.0,106.0,51.0,14
2021-08-26 ,51.0,93.0,61.45,29,57.0,93.0,51.0,16,66.92,93.0,51.0,13
2021-08-27 ,51.0,98.0,66.19,36,63.95,74.0,51.0,19,68.71,98.0,51.0,17
2021-08-28 ,49.0,113.0,62.46,26,62.58,113.0,52.0,19,62.14,98.0,49.0,7
2021-08-29 ,49.0,112.0,68.84,37,65.86,112.0,49.0,21,72.75,112.0,49.0,16
2021-08-30 ,55.0,112.0,69.68,37,66.14,112.0,55.0,21,74.31,112.0,55.0,16
2021-08-31 ,55.0,109.0,66.47,30,63.89,109.0,55.0,19,70.91,109.0,55.0,11
2021-09-01 ,50.0,104.0,62.12,32,59.26,104.0,50.0,19,66.31,104.0,50.0,13
2021-09-02 ,50.0,111.0,65.15,20,59.67,92.0,50.0,9,69.64,111.0,50.0,11
2021-09-03 ,52.0,111.0,63.9,31,59.17,111.0,52.0,18,70.46,111.0,52.0,13
2021-09-04 ,52.0,115.0,65.55,38,64.71,115.0,52.0,21,66.59,105.0,52.0,17
2021-09-05 ,51.0,80.0,62.27,30,61.4,80.0,51.0,20,64.0,80.0,53.0,10
2021-09-06 ,51.0,105.0,61.42,19,57.5,68.0,51.0,14,72.4,105.0,54.0,5
2021-09-07 ,52.0,107.0,72.35,34,67.17,107.0,52.0,18,78.19,105.0,52.0,16
2021-09-08 ,49.0,107.0,64.34,32,58.17,106.0,49.0,18,72.29,107.0,49.0,14
2021-09-09 ,49.0,107.0,65.76,34,64.67,107.0,49.0,21,67.54,107.0,49.0,13
2021-09-10 ,53.0,109.0,66.24,29,63.17,109.0,55.0,18,71.27,109.0,53.0,11
2021-09-11 ,52.0,167.0,67.86,29,63.23,167.0,52.0,13,71.62,167.0,52.0,16
2021-09-12 ,48.0,111.0,63.62,39,58.25,109.0,48.0,20,69.26,111.0,48.0,19
2021-09-13 ,48.0,111.0,74.79,29,70.11,111.0,48.0,18,82.45,111.0,48.0,11
2021-09-14 ,52.0,107.0,67.31,32,66.83,107.0,55.0,18,67.93,107.0,52.0,14
2021-09-15 ,52.0,107.0,65.68,37,60.77,107.0,52.0,22,72.87,107.0,52.0,15
2021-09-16 ,53.0,115.0,67.0,33,62.7,106.0,53.0,20,73.62,115.0,53.0,13
2021-09-17 ,54.0,115.0,67.34,38,69.1,115.0,54.0,20,65.39,115.0,54.0,18
2021-09-18 ,51.0,105.0,64.15,34,59.47,105.0,52.0,19,70.07,105.0,51.0,15
2021-09-19 ,51.0,116.0,77.77,13, , , , ,77.77,116.0,51.0,13
2021-09-20 ,51.0,105.0,65.58,24,64.05,105.0,51.0,19,71.4,101.0,51.0,5
2021-09-21 ,51.0,108.0,66.84,38,60.52,108.0,51.0,21,74.65,108.0,51.0,17
2021-09-22 ,52.0,86.0,62.61,33,60.9,86.0,52.0,20,65.23,78.0,52.0,13
2021-09-23 ,53.0,106.0,66.65,23,62.84,76.0,53.0,19,84.75,106.0,54.0,4
2021-09-24 ,52.0,116.0,69.84,37,62.91,116.0,52.0,22,80.0,116.0,52.0,15
2021-09-25 ,52.0,106.0,66.58,31,61.76,106.0,52.0,21,76.7,106.0,52.0,10
2021-09-26 ,53.0,109.0,67.08,36,63.29,109.0,53.0,21,72.4,109.0,53.0,15
2021-09-27 ,56.0,90.0,64.42,31,63.21,90.0,56.0,19,66.33,90.0,56.0,12
2021-09-28 ,48.0,110.0,60.3,30,56.3,110.0,48.0,20,68.3,110.0,48.0,10
2021-09-29 ,48.0,118.0,76.16,31,76.32,118.0,48.0,19,75.92,118.0,48.0,12
2021-09-30 ,55.0,118.0,65.25,24,62.71,118.0,55.0,14,68.8,118.0,55.0,10
2021-10-01 ,49.0,106.0,70.3,30,66.86,106.0,53.0,21,78.33,106.0,49.0,9
2021-10-02 ,49.0,105.0,69.55,33,69.0,105.0,49.0,18,70.2,105.0,49.0,15
2021-10-03 ,49.0,114.0,61.96,28,57.21,74.0,49.0,19,72.0,114.0,49.0,9
2021-10-04 ,49.0,115.0,65.82,34,64.25,115.0,49.0,20,68.07,114.0,49.0,14
2021-10-05 ,53.0,114.0,79.78,27,82.17,114.0,53.0,18,75.0,106.0,53.0,9
2021-10-06 ,58.0,96.0,72.12,25,75.35,96.0,58.0,17,65.25,96.0,58.0,8
2021-10-07 ,57.0,120.0,77.12,33,79.1,113.0,57.0,21,73.67,120.0,57.0,12
2021-10-08 ,54.0,120.0,70.64,33,71.05,120.0,58.0,19,70.07,120.0,54.0,14
2021-10-09 ,53.0,117.0,67.35,37,61.63,117.0,54.0,19,73.39,117.0,53.0,18
2021-10-10 ,53.0,90.0,65.44,32,62.95,90.0,53.0,20,69.58,90.0,53.0,12
2021-10-11 ,53.0,113.0,67.19,36,61.79,113.0,53.0,19,73.24,113.0,53.0,17
2021-10-12 ,53.0,106.0,74.33,30,72.86,106.0,53.0,14,75.62,106.0,53.0,16
2021-10-13 ,50.0,126.0,67.46,35,58.62,126.0,50.0,21,80.71,126.0,50.0,14
2021-10-14 ,50.0,105.0,72.23,26,72.71,105.0,50.0,17,71.33,105.0,50.0,9
2021-10-15 ,51.0,108.0,63.88,34,64.55,108.0,55.0,20,62.93,108.0,51.0,14
2021-10-16 ,49.0,113.0,64.46,39,54.73,113.0,49.0,22,77.06,113.0,49.0,17
2021-10-17 ,48.0,113.0,63.53,36,58.37,113.0,49.0,19,69.29,110.0,48.0,17
2021-10-18 ,48.0,113.0,72.41,34,59.72,113.0,48.0,18,86.69,113.0,48.0,16
2021-10-19 ,52.0,108.0,82.62,34,80.41,108.0,52.0,17,84.82,108.0,52.0,17
2021-10-20 ,49.0,121.0,68.34,38,56.84,121.0,49.0,19,79.84,121.0,49.0,19
2021-10-21 ,49.0,117.0,74.28,36,61.1,117.0,49.0,20,90.75,117.0,49.0,16
2021-10-22 ,51.0,114.0,71.62,32,58.79,114.0,51.0,14,81.61,114.0,51.0,18
2021-10-23 ,51.0,107.0,76.42,31,75.47,107.0,51.0,17,77.57,107.0,51.0,14
2021-10-24 ,48.0,143.0,66.58,33,57.94,143.0,48.0,18,76.93,143.0,48.0,15
2021-10-25 ,48.0,130.0,64.68,38,56.95,130.0,48.0,22,75.31,130.0,48.0,16
2021-10-26 ,51.0,110.0,72.82,33,67.7,110.0,51.0,20,80.69,110.0,51.0,13
2021-10-27 ,53.0,106.0,72.45,38,71.33,106.0,53.0,21,73.82,105.0,53.0,17
2021-10-28 ,51.0,112.0,67.18,39,63.0,112.0,51.0,22,72.59,112.0,51.0,17
2021-10-29 ,53.0,121.0,75.62,37,65.11,121.0,53.0,19,86.72,115.0,53.0,18
2021-10-30 ,51.0,107.0,68.68,37,62.84,106.0,51.0,19,74.83,107.0,51.0,18
2021-10-31 ,51.0,113.0,85.5,38,84.53,113.0,51.0,19,86.47,113.0,51.0,19
2021-11-01 ,55.0,106.0,70.58,36,65.33,106.0,55.0,21,77.93,106.0,55.0,15
2021-11-02 ,52.0,108.0,66.3,30,62.15,108.0,52.0,20,74.6,108.0,52.0,10
2021-11-03 ,52.0,106.0,70.57,30,63.47,106.0,52.0,19,82.82,106.0,52.0,11
2021-11-04 ,49.0,106.0,68.75,32,61.56,106.0,49.0,18,78.0,106.0,49.0,14
2021-11-05 ,50.0,105.0,80.04,27,79.85,105.0,50.0,13,80.21,105.0,50.0,14
2021-11-06 ,51.0,108.0,66.84,31,57.95,108.0,51.0,20,83.0,108.0,51.0,11
2021-11-07 ,51.0,106.0,77.21,19,75.5,84.0,72.0,10,79.11,106.0,51.0,9
2021-11-08 ,48.0,105.0,57.4,20,53.62,84.0,48.0,16,72.5,105.0,48.0,4
2021-11-09 ,48.0,106.0,70.97,31,59.69,106.0,48.0,16,83.0,106.0,48.0,15
2021-11-10 ,51.0,125.0,80.53,36,75.67,125.0,51.0,18,85.39,125.0,51.0,18
2021-11-11 ,48.0,109.0,65.94,36,57.86,109.0,48.0,21,77.27,109.0,48.0,15
2021-11-12 ,48.0,107.0,75.31,36,57.39,107.0,48.0,18,93.22,107.0,48.0,18
2021-11-13 ,49.0,110.0,72.84,38,69.56,110.0,49.0,18,75.8,110.0,49.0,20
2021-11-14 ,49.0,120.0,72.07,42,58.41,120.0,49.0,22,87.1,118.0,49.0,20
2021-11-15 ,49.0,129.0,75.15,33,64.78,129.0,49.0,18,87.6,129.0,49.0,15
2021-11-16 ,51.0,121.0,73.32,34,62.14,106.0,51.0,21,91.38,121.0,51.0,13
2021-11-17 ,51.0,121.0,72.65,37,64.95,121.0,51.0,22,83.93,121.0,51.0,15
2021-11-18 ,53.0,114.0,73.61,36,71.5,114.0,53.0,22,76.93,114.0,53.0,14
2021-11-19 ,55.0,107.0,78.4,35,71.56,107.0,55.0,16,84.16,107.0,55.0,19
2021-11-20 ,56.0,105.0,76.12,32,78.31,105.0,56.0,16,73.94,105.0,56.0,16
2021-11-21 ,50.0,129.0,65.65,40,58.82,129.0,50.0,22,74.0,129.0,50.0,18
2021-11-22 ,50.0,104.0,68.67,39,64.18,104.0,50.0,22,74.47,104.0,50.0,17
2021-11-23 ,53.0,109.0,75.63,41,65.81,109.0,53.0,21,85.95,109.0,53.0,20
2021-11-24 ,49.0,110.0,67.55,38,54.14,110.0,49.0,21,84.12,110.0,49.0,17
2021-11-25 ,49.0,116.0,79.97,32,73.68,116.0,49.0,19,89.15,110.0,49.0,13
2021-11-26 ,49.0,110.0,68.5,32,58.1,110.0,49.0,21,88.36,110.0,49.0,11
2021-11-27 ,49.0,149.0,79.95,38,78.5,149.0,49.0,20,81.56,104.0,49.0,18
2021-11-28 ,48.0,106.0,62.75,36,55.67,104.0,48.0,18,69.83,106.0,48.0,18
2021-11-29 ,48.0,110.0,73.03,31,69.28,110.0,48.0,18,78.23,110.0,48.0,13
2021-11-30 ,50.0,111.0,65.51,41,59.95,111.0,50.0,21,71.35,111.0,50.0,20
2021-12-01 ,50.0,114.0,72.71,41,61.5,114.0,50.0,22,85.68,114.0,50.0,19
2021-12-02 ,53.0,112.0,80.04,25,69.33,112.0,53.0,6,83.42,112.0,53.0,19
