com.samsung.health.food_intake,6196009,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2021-07-03 06:59:26.384,1.0,,2021-07-03 07:00:23.253,2021-07-03 07:00:23.253,100002,돼지고기김치찌개,120001,128.0,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,cc0668e0-73f3-465a-9053-4ac600deffe0,f2f13bb2-8d27-4e0a-a15b-e52e19d902ce,
2021-07-04 22:17:06.860,1.0,,2021-07-04 22:19:33.074,2021-07-04 22:19:33.074,100001,찐감자,120001,110.0,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,13185648-9ad0-4e4d-a6f8-89daca1fa7cd,4d97adf0-b567-47d1-8ccd-87d76b25c412,
2021-07-12 08:40:00.000,1.0,,2021-07-12 09:34:04.610,2021-07-12 09:34:04.610,100002,오리지널 블루베리 (85g)(요플레),120001,85.0,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,6c272643-4ef4-4020-bcd4-523c288f0c18,8f33c3d8-1e5d-4658-b397-9fed3a3798ea,
2021-09-13 03:00:00.000,1.0,,2021-09-13 08:04:17.886,2021-09-13 08:04:17.886,100002,콜라1잔,120001,0.0,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,ba5ba8c7-c57d-4f34-b18f-816cb46e6e2c,7a4e2d5a-46c5-4d1d-844b-be0af68beea0,
2021-07-03 06:59:26.384,1.0,,2021-07-03 07:00:23.254,2021-07-03 07:00:23.254,100002,복숭아,120001,38.0,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,241b8433-de85-472b-ba46-c5ce06c5c623,ba8345d2-1168-4285-a863-e065ae29a3ec,
2021-07-06 23:28:15.923,1.0,,2021-07-06 23:33:12.972,2021-07-06 23:33:12.972,100001,참치 샐러드 샌드위치,120001,287.0,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,b29d88cc-743c-4434-81b8-0aae82d96f25,4257a9b0-145c-4f80-a464-a95655f0f6af,
2021-07-12 08:40:00.000,1.0,,2021-07-12 09:35:18.743,2021-07-12 09:35:18.743,100002,블랙커피(UCC),120001,5.0,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,dfd8c225-a7e9-4903-abbe-503d0e741812,c63cdad4-a490-4b2f-b4bb-5e5fce3f577c,
2021-09-12 23:00:00.000,1.0,,2021-09-13 08:04:41.015,2021-09-13 08:04:41.015,100001,사과,120001,72.0,UTC+0900,weUQcI9iuT,,com.sec.android.app.shealth,75efcbd3-db44-4748-8abe-11ba700224c0,c648c6a7-2a6f-4cff-ad00-e25fefe75245,
2021-07-03 06:59:26.384,1.0,,2021-07-03 07:00:23.254,2021-07-03 07:00:23.254,100002,밥,120001,300.0,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,6d57a55a-8101-4da5-bc34-345791a5d88c,0e52e9a0-7c95-417b-b03a-103821ea7a7c,
2021-07-08 03:05:41.742,150.0,,2021-07-08 03:06:52.152,2021-07-08 03:06:52.152,100002,크림 파스타,120001,412.5,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,9cd55321-82bd-4281-8ee7-62c98dc8382a,67f0a8d7-0f8f-41c7-b32a-d1ccf73d0337,
2021-07-12 10:40:38.028,1.0,,2021-07-12 12:24:22.778,2021-07-12 12:24:07.195,100003,돼지고기김치찌개,120001,128.0,UTC+0900,ipBsY8J8JM,,com.sec.android.app.shealth,5105ca5c-c056-4839-9c48-1b5154333f8a,f2f13bb2-8d27-4e0a-a15b-e52e19d902ce,
2021-09-13 03:00:00.000,100.0,,2021-09-13 08:05:37.660,2021-09-13 08:05:37.660,100002,적포도,120001,70.0,UTC+0900,weUQcI9iuT,,com.sec.android.app.shealth,9f28e51c-01d8-4953-be52-9ac32d7cbbe4,ee5c2d7d-9113-47ae-83c4-486fdf671516,
