com.samsung.health.food_intake,6201005,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2021-11-04 03:00:00.000,3.0,,2021-11-04 07:05:36.817,2021-11-04 07:05:36.817,100002,배추김치,120001,33.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,23455aeb-36cd-4e6b-829b-53373ae3993e,7eadd5f6-d53c-4164-bc65-dd8c05b00354,
2021-10-30 11:28:47.215,1.0,,2021-10-30 11:29:40.451,2021-10-30 11:29:40.451,100006,고구마 계란  두유,120001,80.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,cf9ba7d1-8a7f-4544-8c17-d5d6119dafaf,2174a85f-a32b-4536-9a90-651c57e2ad20,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.818,2021-11-04 07:05:36.818,100002,대구뽈찜  열무김치,120001,800.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,3551719d-ab99-4785-92df-ac36af65e58e,c0c58122-aace-430a-bbd7-2c9e634527a2,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.818,2021-11-04 07:05:36.818,100002,잡곡밥 도토리묵체국 돼지갈비찜  총각김치,120001,1250.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,1d8e711d-1dd6-498c-8c0a-589b9e02f0da,c9f48af1-c65f-4e9f-aedb-76a27f00674f,
2021-11-03 11:09:02.506,1.0,,2021-11-03 11:09:57.112,2021-11-03 11:09:57.112,100006,고구마   계란  약콩두유,120001,200.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,b4c97186-beba-4fea-a1e8-0a4123d6c69c,d416a8ba-10f3-4240-a038-62cae519d39c,
2021-11-04 03:00:00.000,2.0,,2021-11-04 07:05:36.819,2021-11-04 07:05:36.819,100002,우유,120001,240.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,6c90e183-9632-4caf-a566-e3af84c70833,f339334f-a0f1-481a-b014-c7e2bcc16427,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.819,2021-11-04 07:05:36.819,100002,야제 비빕밥 얼간이된장국,120001,680.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,2b516303-082c-4f68-a6c1-514a1a9be775,1b493a42-66ca-4681-b7e2-9b008355edf1,
2021-11-04 03:00:00.000,5.0,,2021-11-04 07:05:36.817,2021-11-04 07:05:36.817,100002,현미밥,120001,1575.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,488cc122-1b19-4a33-a525-0c49d2c07c05,4a20e9eb-087e-4429-b38a-4577e06c7f59,
2021-07-03 12:37:16.874,100.0,,2021-07-03 13:33:04.433,2021-07-03 13:33:04.433,100003,목살구이,120002,265.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,d7541f9b-74db-4cf8-81d1-fb5a249d8bc0,663cfed9-c3b9-4ff8-950c-1d49af48182f,
2021-07-03 12:37:16.874,0.5,,2021-07-03 13:33:04.433,2021-07-03 13:33:04.433,100003,쌀밥,120001,158.5,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,1deadd1e-78d5-4d1f-9a5f-84ccf3f25d3d,d862f28b-bcb7-4c4f-9714-8c7868d31878,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.818,2021-11-04 07:05:36.818,100002,김밥,120001,445.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,8c0fd645-9dae-4d34-b266-c82a4e59cc88,20074efa-1d44-4188-8c29-2b341f10055a,
2021-08-11 06:48:00.850,1.0,,2021-08-11 06:48:27.312,2021-08-11 06:48:27.312,100005,떡,120001,50.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,eb3681bf-3324-46b5-9bde-8a8c744deaa3,9bcd483f-69f0-4f8e-8730-5c440f61313e,
