com.samsung.shealth.sleep,6201005,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,0,,,,,,,0,,,0.0,,,2021-07-02 12:30:00.000,,2021-07-03 01:00:35.785,2021-07-03 01:00:35.785,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,2021-07-02 20:30:00.000,249c7478-a17e-4265-a845-509131426baf,
,85.0,41,41,14,5,28,389,227,0,0,1,0,,1,57.0,,13.0,,,00000000-0000-0000-0000-00002468ad91.extra_data.json,4,92.091835,83,390,2021-07-07 14:00:00.000,,2021-07-07 20:42:02.734,2021-07-07 20:30:00.000,UTC+0900,aZo0mje12E,,com.sec.android.app.shealth,2021-07-07 20:30:00.000,00000000-0000-0000-0000-00002468ad91,
,77.0,17,17,35,3,38,383,329,0,14,1,0,,1,45.0,,24.0,,,00000000-0000-0000-0000-0000082bf228.extra_data.json,2,89.17526,63,384,2021-07-04 13:57:00.000,,2021-07-04 20:37:04.271,2021-07-04 20:21:00.000,UTC+0900,aZo0mje12E,,com.sec.android.app.shealth,2021-07-04 20:21:00.000,00000000-0000-0000-0000-0000082bf228,
,74.0,12,12,12,1,15,106,90,0,4,1,0,,1,27.0,,31.0,,,00000000-0000-0000-0000-00005fc84547.extra_data.json,1,80.70176,68,107,2021-07-03 21:57:00.000,,2021-07-03 23:59:02.218,2021-07-03 23:43:00.000,UTC+0900,aZo0mje12E,,com.sec.android.app.shealth,2021-07-03 23:43:00.000,00000000-0000-0000-0000-00005fc84547,
,,,,,,,,,,,,0,,,,,,,0,,,0.0,,,2021-07-09 13:20:00.000,,2021-07-10 06:00:16.327,2021-07-10 06:00:16.327,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,2021-07-09 22:00:00.000,759cd3a7-a143-4fe0-842b-ae80cac0dae4,
,71.0,0,19,5,4,39,400,77,1,16,0,0,,1,45.0,,20.0,,,00000000-0000-0000-0000-00006c8bcc77.extra_data.json,3,89.57816,61,400,2021-07-05 13:41:00.000,,2021-07-05 20:28:12.576,2021-07-05 20:20:00.000,UTC+0900,aZo0mje12E,,com.sec.android.app.shealth,2021-07-05 20:20:00.000,00000000-0000-0000-0000-00006c8bcc77,
,83.0,23,23,28,7,49,368,156,0,7,0,0,,1,49.0,,33.0,,,00000000-0000-0000-0000-000043b252e7.extra_data.json,4,86.21622,70,368,2021-07-03 14:23:00.000,,2021-07-03 20:56:53.923,2021-07-03 20:30:00.000,UTC+0900,aZo0mje12E,,com.sec.android.app.shealth,2021-07-03 20:30:00.000,00000000-0000-0000-0000-000043b252e7,
,79.0,0,0,24,1,40,383,274,0,13,0,0,,1,38.0,,23.0,,,00000000-0000-0000-0000-00002698ad9a.extra_data.json,2,88.63049,47,383,2021-07-06 13:41:00.000,,2021-07-06 20:14:03.160,2021-07-06 20:03:00.000,UTC+0900,aZo0mje12E,,com.sec.android.app.shealth,2021-07-06 20:03:00.000,00000000-0000-0000-0000-00002698ad9a,
,87.0,0,60,23,3,66,389,133,0,32,0,0,,1,54.0,,42.0,,,00000000-0000-0000-0000-000043abb9d8.extra_data.json,4,83.03342,64,389,2021-07-12 14:02:00.000,,2021-07-12 21:10:03.468,2021-07-12 20:30:00.000,UTC+0900,aZo0mje12E,,com.sec.android.app.shealth,2021-07-12 20:30:00.000,00000000-0000-0000-0000-000043abb9d8,
,79.0,11,11,30,1,53,348,185,0,18,0,0,,1,40.0,,37.0,,,00000000-0000-0000-0000-00000af3bf2f.extra_data.json,2,84.77011,53,348,2021-07-10 14:43:00.000,,2021-07-10 20:36:01.982,2021-07-10 20:30:00.000,UTC+0900,aZo0mje12E,,com.sec.android.app.shealth,2021-07-10 20:30:00.000,00000000-0000-0000-0000-00000af3bf2f,
