Date,Min. HR (daily),Max. HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. HR (day),Min. HR (day),Number of samples (day),Avg. night HR,Max. HR (night),Min. HR (night),Number of samples (night)
2021-08-24 ,79.0,93.0,84.13,23,84.06,93.0,79.0,18,84.4,87.0,79.0,5
2021-08-25 ,73.0,96.0,84.29,38,82.42,96.0,73.0,19,86.16,95.0,73.0,19
2021-08-26 ,73.0,104.0,86.88,33,84.05,104.0,73.0,22,92.55,104.0,73.0,11
2021-08-27 ,73.0,98.0,80.03,34,77.15,98.0,73.0,20,84.14,98.0,73.0,14
2021-08-28 ,69.0,97.0,83.63,35,79.95,97.0,69.0,20,88.53,97.0,69.0,15
2021-08-29 ,69.0,95.0,81.18,33,77.59,95.0,69.0,17,85.0,95.0,69.0,16
2021-08-30 ,72.0,99.0,88.1,30,86.63,97.0,72.0,19,90.64,99.0,72.0,11
2021-08-31 ,73.0,100.0,83.64,42,80.0,100.0,73.0,21,87.29,100.0,76.0,21
2021-09-01 ,73.0,98.0,79.38,26,78.65,98.0,73.0,17,80.78,98.0,73.0,9
2021-09-02 ,66.0,94.0,78.95,40,76.09,94.0,66.0,22,82.44,94.0,66.0,18
2021-09-03 ,66.0,99.0,87.44,16,85.29,99.0,66.0,7,89.11,99.0,66.0,9
2021-09-04 ,73.0,105.0,83.1,31,78.83,105.0,73.0,18,89.0,105.0,73.0,13
2021-09-05 ,70.0,105.0,80.03,36,76.7,93.0,70.0,20,84.19,105.0,70.0,16
2021-09-06 ,70.0,114.0,81.1,40,76.47,114.0,70.0,19,85.29,114.0,70.0,21
2021-09-07 ,70.0,116.0,84.28,29,80.14,116.0,70.0,14,88.13,116.0,70.0,15
2021-09-08 ,70.0,92.0,79.28,36,76.86,92.0,70.0,22,83.07,92.0,70.0,14
2021-09-09 ,68.0,93.0,79.0,34,76.91,93.0,68.0,22,82.83,90.0,68.0,12
2021-09-10 ,68.0,103.0,86.19,26,85.18,103.0,68.0,17,88.11,101.0,68.0,9
2021-09-11 ,67.0,116.0,83.14,36,81.48,116.0,67.0,21,85.47,116.0,67.0,15
2021-09-12 ,67.0,116.0,79.8,35,76.41,116.0,67.0,22,85.54,116.0,67.0,13
2021-09-13 ,70.0,88.0,77.53,15,75.27,80.0,70.0,11,83.75,88.0,70.0,4
2021-09-14 ,69.0,101.0,81.9,30,78.28,101.0,69.0,18,87.33,101.0,69.0,12
2021-09-15 ,69.0,105.0,90.06,33,90.41,105.0,69.0,22,89.36,93.0,69.0,11
2021-09-16 ,74.0,113.0,87.27,26,83.53,113.0,74.0,17,94.33,113.0,74.0,9
2021-09-17 ,70.0,102.0,81.03,38,80.1,102.0,70.0,21,82.18,99.0,70.0,17
2021-09-18 ,70.0,88.0,78.72,32,77.06,88.0,70.0,17,80.6,87.0,70.0,15
2021-09-19 ,70.0,86.0,80.0,34,79.16,86.0,70.0,19,81.07,86.0,70.0,15
2021-09-20 ,73.0,108.0,86.53,32,82.76,108.0,73.0,17,90.8,108.0,73.0,15
2021-09-21 ,73.0,106.0,83.51,35,79.88,106.0,73.0,17,86.94,106.0,73.0,18
2021-09-22 ,65.0,104.0,78.39,36,72.84,104.0,65.0,19,84.59,104.0,65.0,17
2021-09-23 ,65.0,107.0,79.6,35,80.11,107.0,65.0,18,79.06,94.0,65.0,17
2021-09-24 ,72.0,101.0,83.65,23,81.56,86.0,76.0,9,85.0,101.0,72.0,14
2021-09-25 ,74.0,97.0,83.5,14,87.67,97.0,74.0,3,82.36,97.0,74.0,11
2021-10-03 ,75.0,92.0,81.41,22,81.12,92.0,75.0,17,82.4,87.0,75.0,5
2021-10-04 ,75.0,105.0,86.15,27,83.18,99.0,75.0,17,91.2,105.0,75.0,10
2021-10-05 ,71.0,105.0,79.23,35,77.35,105.0,71.0,20,81.73,105.0,71.0,15
2021-10-06 ,68.0,100.0,75.52,27,73.14,100.0,68.0,14,78.08,100.0,68.0,13
2021-10-07 ,67.0,100.0,78.74,35,75.55,88.0,67.0,20,83.0,100.0,67.0,15
