,Date,Step Count,Speed (m/s),Distance,Greater than 10K steps,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep,Min. HR (daily),Max. HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. HR (day),Min. HR (day),Number of samples (day),Avg. night HR,Max. HR (night),Min. HR (night),Number of samples (night)
0,2021-07-13 ,8955.0,1.56,7167.45,No,87.0,94.86,78.0,4 hours 47 min,2 hours 41 min,21:06:22,23:00:22,14.0,Yes,2 hours 6 min,40.0,87.0,48.73,22.0,50.0,87.0,40.0,17,44.4,57.0,40.0,5
1,2021-07-14 ,27070.0,1.4,21407.96,Yes,88.18,90.67,74.29,7 hours 6 min,4 hours 38 min,03:29:11,22:58:42,18.0,Yes,2 hours 28 min,40.0,99.0,51.81,36.0,44.72,99.0,40.0,18,58.89,99.0,40.0,18
2,2021-07-15 ,19476.0,1.48,15231.33,Yes,70.0,92.61,56.0,5 hours 39 min,3 hours 59 min,21:14:44,23:07:44,15.0,Yes,1 hours 40 min,40.0,104.0,56.23,31.0,52.0,104.0,40.0,17,61.36,104.0,40.0,14
3,2021-07-16 ,10718.0,1.52,8399.92,Yes,75.0,91.27,70.0,7 hours 22 min,5 hours 12 min,21:02:18,23:40:18,18.0,Yes,2 hours 10 min,40.0,88.0,48.72,25.0,46.75,88.0,40.0,16,52.22,88.0,40.0,9
4,2021-07-17 ,19452.0,1.47,15200.61,Yes,70.0,91.02,59.0,5 hours 31 min,3 hours 52 min,21:19:28,22:58:28,11.0,Yes,1 hours 39 min,40.0,120.0,54.2,25.0,52.2,120.0,40.0,15,57.2,120.0,40.0,10
5,2021-07-18 ,6835.0,1.21,5330.44,No,70.0,93.96,59.0,5 hours 47 min,3 hours 57 min,21:05:54,22:40:54,14.0,Yes,1 hours 50 min,40.0,95.0,53.66,29.0,52.71,95.0,40.0,17,55.0,95.0,40.0,12
6,2021-07-19 ,8298.0,1.27,6737.81,No,74.0,93.24,72.0,6 hours 22 min,5 hours 11 min,21:25:46,22:10:46,14.0,Yes,1 hours 11 min,40.0,93.0,51.3,20.0,49.73,93.0,40.0,15,56.0,93.0,40.0,5
7,2021-07-20 ,7082.0,1.74,5827.73,No,74.0,92.21,76.0,5 hours 48 min,4 hours 40 min,21:07:34,22:15:34,14.0,Yes,1 hours 8 min,40.0,108.0,67.27,30.0,50.07,108.0,40.0,14,82.31,108.0,40.0,16
8,2021-07-21 ,31066.0,1.36,24311.27,Yes,68.0,92.24,63.0,3 hours 28 min,1 hours 48 min,21:45:41,23:25:41,9.0,Yes,1 hours 40 min,40.0,109.0,60.85,27.0,55.4,109.0,40.0,10,64.06,109.0,40.0,17
9,2021-07-22 ,5825.0,1.5,4503.83,No,70.0,90.29,54.0,6 hours 22 min,5 hours 12 min,21:03:10,22:45:10,13.0,Yes,1 hours 10 min,40.0,114.0,51.8,25.0,44.78,114.0,40.0,18,69.86,114.0,40.0,7
10,2021-07-23 ,16951.0,1.19,13052.22,Yes,78.66,86.82,56.07,8 hours 21 min,5 hours 16 min,21:11:55,23:58:55,15.0,Yes,3 hours 5 min,40.0,72.0,46.24,21.0,45.25,72.0,40.0,12,47.56,72.0,40.0,9
148,2021-07-24 ,,,,,,,,0 hours 26 min,0 hours 0 min,00:07:55,00:33:55,1.0,Yes,0 hours 26 min,40.0,106.0,71.33,9.0,66.33,106.0,40.0,3,73.83,106.0,40.0,6
11,2021-07-25 ,8586.0,1.49,6796.26,No,,,,,,,,,,,50.0,109.0,66.33,12.0, , , , ,66.33,109.0,50.0,12
12,2021-07-26 ,14239.0,0.96,11044.38,Yes,74.0,87.5,54.0,5 hours 1 min,4 hours 25 min,21:01:49,21:35:49,10.0,Yes,0 hours 36 min,40.0,97.0,53.67,18.0,52.87,97.0,41.0,15,57.67,89.0,40.0,3
13,2021-07-27 ,6248.0,1.53,4919.59,No,,,,,,,,,,,40.0,105.0,74.75,8.0,86.5,105.0,40.0,2,70.83,81.0,40.0,6
14,2021-07-28 ,18494.0,1.47,14682.36,Yes,79.0,92.48,71.0,5 hours 54 min,4 hours 7 min,21:03:00,22:37:00,16.0,Yes,1 hours 47 min,40.0,97.0,54.48,23.0,47.21,97.0,41.0,14,65.78,97.0,40.0,9
15,2021-07-29 ,22040.0,1.08,17009.51,Yes,75.0,93.35,51.0,4 hours 36 min,3 hours 32 min,21:31:26,23:06:26,13.0,Yes,1 hours 4 min,40.0,91.0,52.47,19.0,54.85,91.0,40.0,13,47.33,91.0,40.0,6
16,2021-07-30 ,6302.0,0.82,4801.95,No,,,,,,,,,,,40.0,99.0,85.55,11.0,86.6,99.0,40.0,5,84.67,99.0,40.0,6
17,2021-07-31 ,14064.0,1.25,10934.07,Yes,83.0,92.53,62.0,4 hours 9 min,3 hours 25 min,21:05:20,22:33:20,9.0,Yes,0 hours 44 min,40.0,102.0,57.92,24.0,59.93,102.0,43.0,14,55.1,82.0,40.0,10
18,2021-08-01 ,1428.0,1.57,1170.58,No,,,,,,,,,,,40.0,95.0,72.53,17.0,78.62,95.0,40.0,8,67.11,88.0,40.0,9
19,2021-08-02 ,4435.0,1.35,3618.44,No,,,,,,,,,,,60.0,108.0,73.17,12.0,81.6,108.0,60.0,5,67.14,73.0,60.0,7
20,2021-08-03 ,4651.0,1.15,3757.57,No,,,,,,,,,,,56.0,101.0,70.86,14.0,68.8,101.0,56.0,5,72.0,101.0,56.0,9
21,2021-08-04 ,5156.0,1.44,4222.1,No,,,,,,,,,,,48.0,104.0,64.62,13.0,69.67,104.0,48.0,3,63.1,104.0,48.0,10
22,2021-08-05 ,23587.0,1.38,18590.28,Yes,63.68,88.6,52.53,8 hours 47 min,6 hours 44 min,21:03:49,23:56:49,20.0,Yes,2 hours 3 min,41.0,105.0,55.6,30.0,49.29,105.0,41.0,17,63.85,105.0,41.0,13
23,2021-08-06 ,19682.0,1.42,15866.56,Yes,,,,0 hours 8 min,0 hours 0 min,00:01:49,00:09:49,0.0,Yes,0 hours 8 min,41.0,76.0,65.0,4.0, , , , ,65.0,76.0,41.0,4
24,2021-08-07 ,5869.0,1.56,4713.0,No,,,,,,,,,,,66.0,85.0,74.0,5.0, , , , ,74.0,85.0,66.0,5
25,2021-08-08 ,12453.0,1.27,9943.16,Yes,,,,,,,,,,,62.0,86.0,73.25,4.0,79.0,86.0,62.0,1,71.33,86.0,62.0,3
26,2021-08-09 ,7807.0,1.6,6168.06,No,79.51,85.17,58.79,8 hours 40 min,6 hours 19 min,21:00:12,23:54:16,15.0,Yes,2 hours 21 min,41.0,106.0,53.18,28.0,46.06,106.0,41.0,17,64.18,106.0,41.0,11
27,2021-08-10 ,19694.0,1.39,15531.84,Yes,,,,,,,,,,,40.0,92.0,68.18,11.0,64.5,92.0,40.0,2,69.0,92.0,40.0,9
28,2021-08-11 ,11107.0,1.37,8839.58,Yes,,,,,,,,,,,76.0,101.0,84.5,4.0,76.0,101.0,76.0,1,87.33,101.0,79.0,3
29,2021-08-12 ,4243.0,1.26,3334.85,No,,,,,,,,,,,50.0,77.0,62.33,6.0,61.0,77.0,50.0,1,62.6,77.0,50.0,5
30,2021-08-13 ,5348.0,0.64,4155.76,No,,,,,,,,,,,45.0,84.0,54.89,9.0, , , , ,54.89,84.0,45.0,9
31,2021-08-14 ,17077.0,1.4,13423.65,Yes,,,,,,,,,,,51.0,104.0,75.67,3.0, , , , ,75.67,104.0,51.0,3
32,2021-08-15 ,11.0,1.33,8.68,No,,,,,,,,,,,,,,,,,,,,,,
33,2021-08-16 ,20761.0,1.49,16945.55,Yes,,,,,,,,,,,,,,,,,,,,,,
34,2021-08-17 ,18665.0,1.52,14906.86,Yes,,,,,,,,,,,,,,,,,,,,,,
35,2021-08-18 ,29.0,2.49,28.52,No,,,,,,,,,,,,,,,,,,,,,,
36,2021-08-19 ,9424.0,1.13,7428.68,No,,,,,,,,,,,,,,,,,,,,,,
37,2021-08-20 ,14095.0,1.36,11092.8,Yes,,,,,,,,,,,,,,,,,,,,,,
38,2021-08-21 ,4667.0,1.49,3628.97,No,,,,,,,,,,,48.0,78.0,60.43,7.0,57.0,78.0,48.0,1,61.0,78.0,48.0,6
39,2021-08-23 ,4038.0,0.97,3065.44,No,,,,,,,,,,,50.0,105.0,77.5,2.0, , , , ,77.5,105.0,50.0,2
40,2021-08-24 ,16538.0,1.36,12763.38,Yes,,,,,,,,,,,57.0,87.0,72.6,5.0, , , , ,72.6,87.0,57.0,5
41,2021-08-26 ,15926.0,1.07,12472.34,Yes,,,,,,,,,,,,,,,,,,,,,,
42,2021-08-27 ,7724.0,1.54,6001.04,No,,,,,,,,,,,,,,,,,,,,,,
43,2021-08-28 ,15769.0,1.06,11992.26,Yes,,,,,,,,,,,,,,,,,,,,,,
