Date,Min. HR (daily),Max. HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. HR (day),Min. HR (day),Number of samples (day),Avg. night HR,Max. HR (night),Min. HR (night),Number of samples (night)
2021-07-13 ,56.0,92.0,66.32,28,65.59,92.0,56.0,22,69.0,91.0,56.0,6
2021-07-14 ,56.0,100.0,68.22,36,67.29,100.0,56.0,21,69.53,100.0,56.0,15
2021-07-15 ,57.0,104.0,69.9,31,66.67,104.0,57.0,21,76.7,104.0,57.0,10
2021-07-16 ,57.0,106.0,74.29,35,69.68,106.0,57.0,19,79.75,106.0,57.0,16
2021-07-17 ,59.0,121.0,83.21,33,77.47,121.0,59.0,19,91.0,121.0,59.0,14
2021-07-18 ,57.0,90.0,69.55,20,66.67,81.0,57.0,3,70.06,90.0,57.0,17
2021-07-19 ,60.0,92.0,75.04,23,76.17,92.0,60.0,6,74.65,92.0,60.0,17
2021-07-20 ,60.0,96.0,75.43,42,69.36,96.0,60.0,22,82.1,96.0,60.0,20
2021-07-21 ,57.0,104.0,70.44,41,68.0,104.0,57.0,21,73.0,89.0,57.0,20
2021-07-22 ,52.0,101.0,75.74,42,65.5,101.0,52.0,22,87.0,101.0,52.0,20
2021-07-23 ,52.0,99.0,76.8,20,77.5,99.0,52.0,4,76.62,99.0,52.0,16
2021-07-24 ,59.0,106.0,72.59,41,66.71,106.0,59.0,21,78.75,106.0,59.0,20
2021-07-25 ,59.0,84.0,66.19,21,68.5,83.0,59.0,2,65.95,84.0,59.0,19
2021-07-26 ,56.0,106.0,79.23,26,74.0,106.0,62.0,8,81.56,106.0,56.0,18
2021-07-27 ,56.0,87.0,66.95,22,67.83,87.0,56.0,6,66.62,87.0,56.0,16
2021-07-28 ,60.0,116.0,75.15,13,79.0,89.0,60.0,5,72.75,116.0,60.0,8
2021-07-29 ,64.0,116.0,74.77,22,76.67,116.0,64.0,3,74.47,116.0,64.0,19
2021-07-30 ,62.0,102.0,84.48,29,93.8,102.0,70.0,10,79.58,102.0,62.0,19
2021-07-31 ,62.0,105.0,76.31,26,74.43,102.0,62.0,7,77.0,105.0,62.0,19
2021-08-01 ,64.0,105.0,76.84,19,77.0,105.0,66.0,4,76.8,105.0,64.0,15
2021-08-02 ,60.0,97.0,73.19,27,75.67,84.0,60.0,6,72.48,97.0,60.0,21
