com.samsung.shealth.exercise,6196009,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,,,,1,,,,4,0,0,,,,,,,,,725419,,,,2017-02-26 22:17:00.000,1001,,,,,,,,,2017-02-26 22:32:32.103,2017-02-26 22:32:32.103,,1.9444444,,,,928.74,,40.62,,,,UTC+0900,poYXze4wAV,,,34abaafd-410c-4eb0-8d92-07a847613323.com.samsung.health.exercise.live_data.json,,1.2802807,com.sec.android.app.shealth,,,,2017-02-26 22:29:05.000,34abaafd-410c-4eb0-8d92-07a847613323,
,,,,1,,,,4,0,0,,,,,,,,,1434383,,,,2017-03-17 13:55:00.000,1001,,,,,,,,,2017-03-17 14:20:09.523,2017-03-17 14:20:09.523,,3.75,,,,1819.58,,77.61,,,,UTC+0900,poYXze4wAV,,,c59333fd-5556-41d2-8b40-f3d3d6c7d80a.com.samsung.health.exercise.live_data.json,,1.2685453,com.sec.android.app.shealth,,,,2017-03-17 14:18:54.000,c59333fd-5556-41d2-8b40-f3d3d6c7d80a,
,,,,1,,,,4,0,0,,,,,,,,,703667,,,,2017-02-27 14:17:00.000,1001,,,,,,,,,2017-02-27 14:29:44.477,2017-02-27 14:29:44.477,,1.9444444,,,,946.88,,40.68,,,,UTC+0900,poYXze4wAV,,,32b4d141-5d88-489d-bf86-130d8fadce58.com.samsung.health.exercise.live_data.json,,1.3456364,com.sec.android.app.shealth,,,,2017-02-27 14:28:43.000,32b4d141-5d88-489d-bf86-130d8fadce58,
,,,,1,,,,4,0,0,,,,,,,,,1744262,,,,2017-03-19 03:38:00.000,1001,,,,,,,,,2017-03-19 04:10:03.709,2017-03-19 04:10:03.709,,2.8055556,,,,2099.04,,100.42999,,,,UTC+0900,poYXze4wAV,,,84f1793c-5453-4b8c-9222-975f652ed391.com.samsung.health.exercise.live_data.json,,1.2033973,com.sec.android.app.shealth,,,,2017-03-19 04:07:04.000,84f1793c-5453-4b8c-9222-975f652ed391,
,,,,1,,,,4,0,0,,,,,,,,,945491,,,,2017-04-03 14:53:02.000,1001,,,,,,,,,2017-04-03 15:14:50.968,2017-04-03 15:14:50.968,,2.0,,,,1298.19,,66.85,,,,UTC+0900,poYXze4wAV,,,667a715d-818e-4748-b83e-7a820a9f78bb.com.samsung.health.exercise.live_data.json,,1.3730327,com.sec.android.app.shealth,,,,2017-04-03 15:08:47.000,667a715d-818e-4748-b83e-7a820a9f78bb,
,,,,1,,,,4,0,0,,,,,,,,,683897,,,,2017-03-24 12:59:00.000,1001,,,,,,,,,2017-03-24 13:15:01.845,2017-03-24 13:15:01.845,,2.0555556,,,,1047.07,,52.8,,,,UTC+0900,poYXze4wAV,,,0dbc3158-8e40-4e53-b562-7f0cf67efb05.com.samsung.health.exercise.live_data.json,,1.5310347,com.sec.android.app.shealth,,,,2017-03-24 13:10:23.000,0dbc3158-8e40-4e53-b562-7f0cf67efb05,
,,,,1,,,,4,0,0,,,,,,,,,1091626,,,,2017-05-09 21:06:16.000,1001,,,,,,,,,2017-05-09 21:25:31.780,2017-05-09 21:25:31.780,,2.0555556,,,,1507.39,,77.67,,,,UTC+0900,poYXze4wAV,,,6b4cb823-f6d6-4fbf-993d-567a38152697.com.samsung.health.exercise.live_data.json,,1.3808666,com.sec.android.app.shealth,,,,2017-05-09 21:24:28.000,6b4cb823-f6d6-4fbf-993d-567a38152697,
,,,,1,,,,4,0,0,,,,,,,,,1565000,,,,2017-04-09 12:34:00.000,1001,,,,,,,,,2017-04-09 13:01:04.707,2017-04-09 13:01:04.707,,1.75,,,,1755.16,,93.62,,,,UTC+0900,poYXze4wAV,,,1aa5a51b-8cb6-4a08-9474-6ef6631b7bc5.com.samsung.health.exercise.live_data.json,,1.121508,com.sec.android.app.shealth,,,,2017-04-09 13:00:05.000,1aa5a51b-8cb6-4a08-9474-6ef6631b7bc5,
,,,,1,,,,4,0,0,,,,,,,,,737327,,,,2017-05-09 21:27:05.000,1001,,,,,,,,,2017-05-09 21:40:24.276,2017-05-09 21:40:24.276,,2.3888888,,,,1061.07,,54.62,,,,UTC+0900,poYXze4wAV,,,a4326524-c4d0-4a8c-8d00-c1a8977957d2.com.samsung.health.exercise.live_data.json,,1.4390764,com.sec.android.app.shealth,,,,2017-05-09 21:39:22.000,a4326524-c4d0-4a8c-8d00-c1a8977957d2,
,,,,1,,,,4,0,0,,,,,,,,,1351551,,,,2017-04-23 00:07:08.000,1001,,,,,,,,,2017-04-23 00:35:01.305,2017-04-23 00:35:01.305,,2.6944444,,,,1941.9,,112.86,,,,UTC+0900,poYXze4wAV,,,033ab670-8b3b-41c5-af61-927528ea21fb.com.samsung.health.exercise.live_data.json,,1.4367936,com.sec.android.app.shealth,,,,2017-04-23 00:29:39.000,033ab670-8b3b-41c5-af61-927528ea21fb,
