com.samsung.shealth.sleep,6196009,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,70.0,0,0,0,0,10,79,0,0,3,0,0,,1,8.0,,16.0,,,00000000-0000-0000-0000-00001a652089.extra_data.json,0,73.68421,34,79,2021-07-09 10:18:00.000,,2021-07-09 12:10:45.386,2021-07-09 11:37:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-09 11:37:00.000,00000000-0000-0000-0000-00001a652089,
,70.0,0,73,0,0,38,306,0,0,14,0,0,,1,54.0,,17.0,,,00000000-0000-0000-0000-00002c8169b9.extra_data.json,0,87.29642,49,306,2021-07-08 16:45:00.000,,2021-07-08 22:03:19.336,2021-07-08 21:51:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-08 21:51:00.000,00000000-0000-0000-0000-00002c8169b9,
,73.0,4,4,7,2,9,98,98,0,0,0,0,,1,16.0,,16.0,,,00000000-0000-0000-0000-00005402c232.extra_data.json,1,89.0,63,98,2021-07-09 08:21:00.000,,2021-07-09 10:02:00.231,2021-07-09 09:58:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-09 09:58:00.000,00000000-0000-0000-0000-00005402c232,
,64.0,12,21,3,6,18,204,49,1,8,0,0,,1,40.0,,19.0,,,00000000-0000-0000-0000-00002b302f93.extra_data.json,2,90.454544,57,204,2021-07-10 23:54:00.000,,2021-07-11 03:22:01.052,2021-07-11 03:17:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-11 03:17:00.000,00000000-0000-0000-0000-00002b302f93,
,75.0,13,22,17,5,42,290,147,0,19,0,0,,1,40.0,,33.0,,,00000000-0000-0000-0000-00003bb4a74c.extra_data.json,2,85.81315,58,290,2021-07-11 17:11:00.000,,2021-07-11 22:05:46.151,2021-07-11 22:00:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-11 22:00:00.000,00000000-0000-0000-0000-00003bb4a74c,
,70.0,0,12,0,0,14,91,0,0,3,0,0,,1,22.0,,19.0,,,00000000-0000-0000-0000-00002beb8bc6.extra_data.json,0,80.20833,46,91,2021-07-11 07:40:00.000,,2021-07-11 09:21:55.821,2021-07-11 09:10:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-11 09:10:00.000,00000000-0000-0000-0000-00002beb8bc6,
,74.0,15,34,7,1,45,297,72,0,22,1,0,,1,49.0,,32.0,,,00000000-0000-0000-0000-00001e7bb79b.extra_data.json,1,81.99357,66,298,2021-07-14 16:57:00.000,,2021-07-14 22:00:03.869,2021-07-14 21:54:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-14 21:54:00.000,00000000-0000-0000-0000-00001e7bb79b,
,60.0,12,18,2,10,29,217,66,2,16,0,0,,1,37.0,,24.0,,,00000000-0000-0000-0000-000036b8cf22.extra_data.json,4,81.034485,58,217,2021-07-13 17:16:00.000,,2021-07-13 21:45:33.901,2021-07-13 20:53:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-13 20:53:00.000,00000000-0000-0000-0000-000036b8cf22,
,61.0,0,11,3,4,11,119,60,1,4,0,0,,1,21.0,,18.0,,,00000000-0000-0000-0000-0000650f71d9.extra_data.json,1,91.40625,55,119,2021-07-13 22:32:00.000,,2021-07-14 02:03:02.585,2021-07-14 00:30:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-14 00:30:00.000,00000000-0000-0000-0000-0000650f71d9,
,81.0,11,29,15,9,46,362,104,0,11,0,0,,1,48.0,,30.0,,,00000000-0000-0000-0000-0000431447fb.extra_data.json,4,87.18663,72,362,2021-07-16 17:06:00.000,,2021-07-16 23:21:04.429,2021-07-16 23:07:00.000,UTC+0900,3IGv5P20p2,,com.sec.android.app.shealth,2021-07-16 23:07:00.000,00000000-0000-0000-0000-0000431447fb,
