Date,Min. HR (daily),Max. HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. HR (day),Min. HR (day),Number of samples (day),Avg. night HR,Max. HR (night),Min. HR (night),Number of samples (night)
2021-07-08 ,62.0,75.0,69.89,19,70.25,75.0,62.0,16,68.0,75.0,62.0,3
2021-07-09 ,66.0,80.0,75.09,34,72.11,77.0,66.0,19,78.87,80.0,66.0,15
2021-07-10 ,68.0,79.0,79.9,30,76.71,79.0,68.0,14,82.69,79.0,68.0,16
2021-07-11 ,61.0,80.0,77.49,35,76.19,80.0,61.0,16,78.58,80.0,61.0,19
2021-07-12 ,68.0,103.0,76.3,27,73.1,82.0,68.0,10,78.18,103.0,68.0,17
2021-07-13 ,79.0,91.0,85.82,34,83.56,90.0,79.0,18,88.38,91.0,79.0,16
2021-07-14 ,73.0,84.0,82.86,28,79.7,84.0,73.0,10,84.61,84.0,73.0,18
2021-07-15 ,68.0,83.0,79.62,26,80.44,79.0,68.0,16,78.3,83.0,68.0,10
2021-07-16 ,62.0,75.0,70.58,33,72.79,75.0,64.0,14,68.95,75.0,62.0,19
2021-07-17 ,69.0,93.0,77.61,38,82.0,93.0,69.0,18,73.65,93.0,69.0,20
2021-07-18 ,72.0,83.0,77.28,39,77.22,82.0,72.0,18,77.33,83.0,72.0,21
2021-07-19 ,71.0,80.0,74.86,22,75.29,80.0,71.0,7,74.67,80.0,71.0,15
2021-07-20 ,64.0,76.0,75.42,31,71.5,76.0,64.0,14,78.65,76.0,64.0,17
2021-07-21 ,68.0,90.0,77.37,19,72.57,83.0,68.0,7,80.17,90.0,68.0,12
2021-07-22 ,67.0,81.0,73.61,28,72.67,81.0,67.0,15,74.69,81.0,67.0,13
2021-07-23 ,63.0,75.0,72.36,22,66.6,72.0,63.0,10,77.17,75.0,63.0,12
2021-07-24 ,62.0,73.0,72.47,32,69.2,71.0,62.0,15,75.35,73.0,62.0,17
2021-07-25 ,64.0,83.0,76.47,34,76.33,83.0,64.0,21,76.69,83.0,64.0,13
2021-07-26 ,69.0,82.0,75.7,27,75.55,80.0,69.0,11,75.81,82.0,69.0,16
2021-07-27 ,65.0,74.0,75.36,28,69.38,74.0,66.0,8,77.75,74.0,65.0,20
2021-07-28 ,65.0,78.0,74.91,22,71.57,78.0,65.0,7,76.47,78.0,65.0,15
2021-07-29 ,61.0,77.0,72.13,39,71.42,77.0,61.0,19,72.8,77.0,61.0,20
2021-07-30 ,65.0,78.0,68.83,18,72.67,75.0,69.0,6,66.92,78.0,65.0,12
2021-07-31 ,64.0,79.0,77.1,31,78.88,79.0,64.0,16,75.2,79.0,64.0,15
